rank,name,city,state,score,category,type
17,Kerala University,Thiruvananthapuram,Kerala,55.27,University,Government
18,Mysore University,Mysuru,Karnataka,54.63,University,Government
19,Gujarat University,Ahmedabad,Gujarat,53.99,University,Government
20,Andhra University,Visakhapatnam,Andhra Pradesh,53.35,University,Government
21,Panjab University,Chandigarh,Punjab,52.71,University,Government
22,Symbiosis International University,Pune,Maharashtra,52.07,University,Private
23,KIIT University,Bhubaneswar,Odisha,51.43,University,Private
24,Lovely Professional University,Phagwara,Punjab,50.79,University,Private
25,Shoolini University,Solan,Himachal Pradesh,50.15,University,Private
1,AIIMS New Delhi,New Delhi,Delhi,91.88,Medical,Government
2,PGIMER Chandigarh,Chandigarh,Punjab,82.14,Medical,Government
3,CMC Vellore,Vellore,Tamil Nadu,77.23,Medical,Private
4,JIPMER Puducherry,Puducherry,Puducherry,75.41,Medical,Government
5,Amrita Institute of Medical Sciences,Kochi,Kerala,70.89,Medical,Private
6,Kasturba Medical College Manipal,Manipal,Karnataka,69.34,Medical,Private
7,AIIMS Jodhpur,Jodhpur,Rajasthan,68.12,Medical,Government
8,SGPGI Lucknow,Lucknow,Uttar Pradesh,66.78,Medical,Government
9,St. John's Medical College,Bengaluru,Karnataka,65.45,Medical,Private
10,Jawaharlal Nehru Medical College,Belgaum,Karnataka,64.12,Medical,Private
11,Madras Medical College,Chennai,Tamil Nadu,63.89,Medical,Government
12,Grant Medical College Mumbai,Mumbai,Maharashtra,62.67,Medical,Government
13,King George Medical University,Lucknow,Uttar Pradesh,61.34,Medical,Government
14,Maulana Azad Medical College,New Delhi,Delhi,60.12,Medical,Government
15,Seth GS Medical College,Mumbai,Maharashtra,58.89,Medical,Government
1,IIM Ahmedabad,Ahmedabad,Gujarat,85.34,Management,Government
2,IIM Bengaluru,Bengaluru,Karnataka,83.12,Management,Government
3,IIM Calcutta,Kolkata,West Bengal,81.45,Management,Government
4,IIM Kozhikode,Kozhikode,Kerala,73.89,Management,Government
5,IIM Lucknow,Lucknow,Uttar Pradesh,72.56,Management,Government
6,IIM Indore,Indore,Madhya Pradesh,71.23,Management,Government
7,XLRI Jamshedpur,Jamshedpur,Jharkhand,70.89,Management,Private
8,IIM Shillong,Shillong,Meghalaya,68.45,Management,Government
9,MDI Gurgaon,Gurugram,Haryana,67.12,Management,Private
10,IIM Rohtak,Rohtak,Haryana,65.78,Management,Government
11,SPJIMR Mumbai,Mumbai,Maharashtra,64.45,Management,Private
12,IIM Trichy,Tiruchirappalli,Tamil Nadu,63.12,Management,Government
13,IIFT New Delhi,New Delhi,Delhi,61.78,Management,Government
14,IMT Ghaziabad,Ghaziabad,Uttar Pradesh,60.45,Management,Private
15,FORE School of Management,New Delhi,Delhi,59.12,Management,Private
1,NLSIU Bengaluru,Bengaluru,Karnataka,74.23,Law,Government
2,NLU Delhi,New Delhi,Delhi,72.89,Law,Government
3,NALSAR Hyderabad,Hyderabad,Telangana,70.45,Law,Government
4,NLU Jodhpur,Jodhpur,Rajasthan,68.12,Law,Government
5,WBNUJS Kolkata,Kolkata,West Bengal,66.78,Law,Government
6,NLU Bhopal (NLIU),Bhopal,Madhya Pradesh,65.45,Law,Government
7,NLU Gandhinagar,Gandhinagar,Gujarat,64.12,Law,Government
8,HNLU Raipur,Raipur,Chhattisgarh,62.78,Law,Government
9,RGNUL Patiala,Patiala,Punjab,61.45,Law,Government
10,CNLU Patna,Patna,Bihar,60.12,Law,Government
